"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.267433922E0,1.887465268E-2,2.523758888E0,-5.451155901E-1,2.582027534E0
1.277432822E0,3.818506747E-2,2.662602901E0,-5.407625437E-1,2.717229552E0
1.287431655E0,4.612009600E-2,2.751352310E0,-5.584422350E-1,2.807832674E0
1.297430555E0,5.688377097E-2,2.739725113E0,-5.430401564E-1,2.793603778E0
1.307429455E0,3.191781789E-2,2.661231995E0,-5.475690961E-1,2.717168819E0
1.317428288E0,2.760638669E-2,2.542286873E0,-5.207276344E-1,2.595215198E0
1.327427154E0,1.662161201E-2,2.449831486E0,-4.828199744E-1,2.497011356E0
1.337426020E0,1.095386967E-2,2.355082035E0,-4.698066711E-1,2.401509877E0
1.347424886E0,-3.560248762E-3,2.315502644E0,-4.220190048E-1,2.353649338E0
1.357423752E0,-3.628828749E-2,2.192158222E0,-3.975925446E-1,2.228217750E0
1.367422618E0,-6.537022442E-2,1.958686352E0,-3.510839939E-1,1.990976007E0
1.377421451E0,-1.093146577E-1,1.667714119E0,-2.901958227E-1,1.696300001E0
1.387420317E0,-1.338889003E-1,1.426944733E0,-2.513139248E-1,1.455079447E0
1.397419117E0,-1.528793573E-1,1.147751808E0,-2.109627724E-1,1.176950127E0
1.407417983E0,-1.871909499E-1,9.378843307E-1,-1.886301637E-1,9.748070621E-1
1.417416849E0,-2.000824362E-1,7.805194855E-1,-1.466128826E-1,8.189865602E-1
1.427415649E0,-1.942272782E-1,4.888982773E-1,-1.262795329E-1,5.410104265E-1
1.437414515E0,-1.923327744E-1,1.947736740E-1,-9.339153767E-2,2.892242374E-1
1.447413381E0,-1.871973872E-1,-1.449642181E-1,-1.029739380E-1,2.581881450E-1
1.457412181E0,-1.791583747E-1,-4.153652191E-1,-7.090175152E-2,4.578788561E-1
1.467411047E0,-1.635344625E-1,-6.498937607E-1,-8.528113365E-2,6.755577639E-1
1.477409913E0,-1.576066911E-1,-8.557367325E-1,-8.834105730E-2,8.746024050E-1
1.487408779E0,-1.258592606E-1,-1.025679588E0,-8.450806141E-2,1.036822446E0
1.497407645E0,-9.268471599E-2,-1.257907867E0,-7.136696577E-2,1.263335230E0
1.507406511E0,-6.346052140E-2,-1.533229828E0,-6.298476458E-2,1.535834634E0
1.517405377E0,-2.924582176E-2,-1.765493393E0,-6.418770552E-2,1.766901893E0
1.527404210E0,-1.496069320E-2,-1.957032204E0,-5.043423176E-2,1.957739125E0
1.537402976E0,5.286280066E-4,-2.067087173E0,-7.882738113E-2,2.068589717E0
1.547401776E0,2.596453577E-2,-2.126793861E0,-7.977885008E-2,2.128448015E0
1.557400509E0,2.727832459E-2,-2.198369980E0,-7.233142853E-2,2.199728736E0
1.567399175E0,3.774725646E-2,-2.324928284E0,-4.209399223E-2,2.325615678E0
1.577397908E0,2.112140693E-2,-2.451406479E0,-2.051734924E-2,2.451583325E0
1.587396641E0,1.591492444E-2,-2.515563011E0,1.134449244E-2,2.515638934E0
1.597395374E0,1.281462051E-2,-2.515048027E0,1.728785038E-2,2.515140088E0
1.607394107E0,-4.474734422E-3,-2.492964745E0,7.118690014E-2,2.493984927E0
1.617392840E0,-3.756999969E-2,-2.377593994E0,7.661390305E-2,2.379124712E0
1.627391573E0,-6.692505628E-2,-2.305417061E0,7.598906755E-2,2.307639731E0
1.637390306E0,-9.609248489E-2,-2.278967857E0,8.465754986E-2,2.282563287E0
1.647389006E0,-9.314005822E-2,-2.221593857E0,7.917350531E-2,2.224954557E0
1.657387772E0,-9.814269096E-2,-2.068605423E0,7.424062490E-2,2.072262545E0
1.667386538E0,-1.153336316E-1,-1.877438545E0,6.267577410E-2,1.882021676E0
1.677385238E0,-1.158149838E-1,-1.650524139E0,3.242129087E-2,1.654900053E0
1.687384004E0,-8.731493354E-2,-1.339972496E0,-1.981616020E-3,1.342815741E0
1.697382770E0,-7.063084841E-2,-1.122900963E0,-3.539574146E-2,1.125676751E0
1.707381470E0,-6.583404541E-2,-9.178991318E-1,-9.858244658E-2,9.255222506E-1
1.717380236E0,-4.206197709E-2,-7.153930664E-1,-1.123937964E-1,7.253887336E-1
1.727379002E0,-1.657842845E-2,-4.578590393E-1,-1.553149223E-1,4.837690247E-1
1.737377768E0,-3.457958577E-3,-1.333332062E-1,-1.934332848E-1,2.349598625E-1
1.747376534E0,2.234904841E-2,1.888017654E-1,-2.337669730E-1,3.013180782E-1
1.757375300E0,6.775595248E-2,5.157203674E-1,-3.024466634E-1,6.016912420E-1
1.767374066E0,6.495031714E-2,7.469329834E-1,-3.294864893E-1,8.189559036E-1
