"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.072266230E-1,2.083019018E-1,-1.019482231E1,8.715160489E-1,1.023412585E1
6.092263560E-1,2.154847383E-1,-1.022115898E1,8.715160489E-1,1.026050997E1
6.112260890E-1,2.106961906E-1,-1.028101635E1,8.691217303E-1,1.031983831E1
6.132258220E-1,2.178790122E-1,-1.034326744E1,8.834874034E-1,1.038321735E1
6.152255550E-1,2.130904645E-1,-1.037918091E1,8.739103079E-1,1.041808635E1
6.172252880E-1,2.083019018E-1,-1.044143200E1,8.834874034E-1,1.048081303E1
6.192250210E-1,2.106961906E-1,-1.049650097E1,8.954587579E-1,1.053673440E1
6.212248210E-1,2.202732861E-1,-1.054438591E1,9.050358534E-1,1.058544682E1
6.232245540E-1,2.274561077E-1,-1.057072353E1,8.906702399E-1,1.061061854E1
6.252242870E-1,2.298503816E-1,-1.062818623E1,8.858816624E-1,1.066751892E1
6.272240200E-1,2.346389294E-1,-1.064973450E1,9.026415944E-1,1.069049401E1
6.292237530E-1,2.346389294E-1,-1.069522572E1,9.002473354E-1,1.073561148E1
6.312234860E-1,2.370332032E-1,-1.074311066E1,8.882759809E-1,1.078237662E1
6.332232520E-1,2.513988614E-1,-1.079817963E1,9.217957854E-1,1.084036863E1
6.352229850E-1,2.466102988E-1,-1.082691097E1,9.194015265E-1,1.086867595E1
6.372227850E-1,2.466102988E-1,-1.087719059E1,9.241901040E-1,1.091916751E1
6.392225180E-1,2.585816681E-1,-1.093225861E1,9.409499764E-1,1.097572456E1
6.412222510E-1,2.585816681E-1,-1.096577835E1,9.481328130E-1,1.100972821E1
6.432219840E-1,2.561874092E-1,-1.102324104E1,9.481328130E-1,1.106690702E1
6.452217170E-1,2.490045726E-1,-1.107591534E1,9.505270720E-1,1.111941570E1
