"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.523112220E-1,-3.841961622E-1,-1.108742714E0,1.429251432E-1,1.182093352E0
8.623099220E-1,-3.776051104E-1,-9.290122986E-1,1.162840724E-1,1.009540220E0
8.723086550E-1,-3.537397087E-1,-7.494525909E-1,8.966052532E-2,8.335766176E-1
8.823073880E-1,-3.307061195E-1,-4.839382172E-1,4.309570789E-2,5.877244044E-1
8.923060540E-1,-2.998986840E-1,-2.808971405E-1,-4.333257675E-4,4.109046264E-1
9.023047870E-1,-3.002366126E-1,-1.341724396E-2,-2.845436335E-2,3.018802689E-1
9.123035200E-1,-3.106667995E-1,3.065242767E-1,-5.948984623E-2,4.404657017E-1
9.223021860E-1,-3.264927864E-1,5.233592987E-1,-1.050676703E-1,6.257329386E-1
9.323009190E-1,-3.475623429E-1,7.041168213E-1,-1.338989735E-1,7.965607418E-1
9.422996520E-1,-3.542068005E-1,9.110956192E-1,-1.505243778E-1,9.890476597E-1
9.522983850E-1,-3.650926948E-1,9.097204208E-1,-1.616748571E-1,9.934901506E-1
9.622971180E-1,-4.083146155E-1,1.265075684E0,-1.958246827E-1,1.343683228E0
9.722958840E-1,-4.044519067E-1,1.551007271E0,-2.050338387E-1,1.615934335E0
9.822946500E-1,-4.226709604E-1,1.755513191E0,-2.159773111E-1,1.818549836E0
9.922934160E-1,-4.419378638E-1,1.926485062E0,-2.526704073E-1,1.992610374E0
1.002292116E0,-4.503912926E-1,2.006370544E0,-2.724131346E-1,2.074267098E0
1.012290882E0,-5.004814863E-1,2.052694798E0,-2.822353840E-1,2.131594347E0
1.022289648E0,-5.224125385E-1,2.130143642E0,-3.008778691E-1,2.213809904E0
1.032288348E0,-5.609905124E-1,2.186089993E0,-2.872753143E-1,2.275132286E0
1.042287114E0,-6.131350398E-1,2.302025795E0,-2.845129967E-1,2.399209241E0
1.052285880E0,-6.133190393E-1,2.341519833E0,-2.710427642E-1,2.435639454E0
1.062284646E0,-6.159306765E-1,2.309354782E0,-2.737929225E-1,2.405712508E0
1.072283412E0,-6.205180883E-1,2.246247292E0,-2.644626498E-1,2.345337947E0
1.082282178E0,-6.079400778E-1,2.176111698E0,-2.553813457E-1,2.273823408E0
1.092280944E0,-5.943710804E-1,2.115672112E0,-2.621027827E-1,2.213152352E0
1.102279710E0,-5.843166709E-1,2.040874481E0,-2.650503516E-1,2.139356517E0
1.112278410E0,-6.023035049E-1,1.997124195E0,-2.667098641E-1,2.102952380E0
1.122277176E0,-6.126577258E-1,1.845621109E0,-2.929697633E-1,1.966595548E0
1.132275942E0,-5.960974097E-1,1.660621643E0,-3.025920987E-1,1.790128024E0
1.142274642E0,-5.862508416E-1,1.432559013E0,-2.953153253E-1,1.575793932E0
1.152273408E0,-5.711393952E-1,1.238102913E0,-3.041865826E-1,1.397006982E0
1.162272174E0,-5.726524591E-1,1.043726921E0,-3.098535538E-1,1.230165009E0
1.172270874E0,-5.792402625E-1,8.517942429E-1,-3.003367782E-1,1.072974787E0
1.182269640E0,-5.623467565E-1,6.958131790E-1,-2.754002213E-1,9.360743221E-1
1.192268406E0,-5.770686269E-1,4.585275650E-1,-2.613204718E-1,7.820128624E-1
1.202267172E0,-5.613129139E-1,1.518583298E-1,-2.459513545E-1,6.313677284E-1
1.212265938E0,-5.555961132E-1,-1.021032333E-1,-2.418967485E-1,6.145129358E-1
1.222264738E0,-5.603600144E-1,-3.728017807E-1,-2.394335866E-1,7.143619222E-1
1.232263538E0,-5.638288856E-1,-5.908193588E-1,-2.214242220E-1,8.461673670E-1
1.242262438E0,-5.901172161E-1,-7.321481705E-1,-2.017642856E-1,9.617630161E-1
1.252261338E0,-5.887668133E-1,-9.643888474E-1,-1.707392335E-1,1.142735357E0
1.262260304E0,-6.144819260E-1,-1.203713417E0,-1.548593640E-1,1.360329170E0
1.272259270E0,-6.378455162E-1,-1.478873253E0,-9.720498323E-2,1.613493666E0
1.282258203E0,-6.294294000E-1,-1.691701889E0,-6.539148092E-2,1.806187337E0
1.292257203E0,-6.582204700E-1,-1.839797974E0,-2.621412277E-2,1.954174494E0
1.302256269E0,-6.533654928E-1,-1.975789070E0,5.376219749E-3,2.081023263E0
1.312255335E0,-6.561490893E-1,-2.006364822E0,1.441609859E-2,2.110980637E0
1.322254401E0,-6.592562795E-1,-2.070441246E0,1.007062197E-2,2.172889140E0
1.332253467E0,-6.270642281E-1,-2.211145401E0,2.799338102E-2,2.298511945E0
1.342252533E0,-6.386759877E-1,-2.280036926E0,1.318794489E-2,2.367836423E0
1.352251599E0,-6.366411448E-1,-2.329769135E0,3.064596653E-2,2.415383063E0
1.362250599E0,-6.068024635E-1,-2.310034752E0,1.860892773E-2,2.388475681E0
1.372249665E0,-5.805037022E-1,-2.239984512E0,1.307177544E-2,2.314019454E0
1.382248731E0,-5.602216721E-1,-2.114866257E0,-1.231956482E-2,2.187843545E0
1.392247731E0,-5.536356568E-1,-2.042428017E0,-3.829431534E-2,2.116480829E0
1.402246797E0,-5.466689467E-1,-1.991607666E0,-6.039232016E-2,2.066154705E0
1.412245863E0,-5.279593468E-1,-1.900115967E0,-5.869376659E-2,1.972974079E0
1.422244863E0,-4.978070855E-1,-1.775171280E0,-8.098143339E-2,1.845427582E0
1.432243929E0,-4.826073050E-1,-1.571228981E0,-1.147482395E-1,1.647676388E0
1.442242995E0,-4.898213744E-1,-1.336130142E0,-1.451924443E-1,1.430471804E0
1.452242061E0,-4.693648219E-1,-1.103392601E0,-1.454489231E-1,1.207863385E0
1.462241127E0,-4.668114781E-1,-9.064817429E-1,-1.655597091E-1,1.032972470E0
1.472240193E0,-4.655020237E-1,-7.526235580E-1,-1.696578860E-1,9.010650101E-1
1.482239259E0,-4.701448679E-1,-5.579862595E-1,-1.625607014E-1,7.475365170E-1
1.492238325E0,-4.804928005E-1,-3.226299286E-1,-1.615625024E-1,6.008875471E-1
1.502237325E0,-4.892849326E-1,-9.441757202E-2,-1.429196596E-1,5.184018251E-1
1.512236391E0,-4.839525521E-1,2.200374603E-1,-1.378343701E-1,5.492038512E-1
1.522235424E0,-4.853950143E-1,4.578676224E-1,-1.496945024E-1,6.838563618E-1
1.532234390E0,-4.956868589E-1,6.693429947E-1,-1.477422118E-1,8.459038171E-1
1.542233323E0,-4.833436012E-1,8.185863495E-1,-1.559212804E-1,9.633359197E-1
1.552232189E0,-4.721454382E-1,1.032501221E0,-1.551365256E-1,1.145882816E0
1.562231055E0,-4.764756262E-1,1.277538300E0,-1.717081666E-1,1.374269560E0
1.572229888E0,-4.651790857E-1,1.484298706E0,-1.862216592E-1,1.566592716E0
1.582228688E0,-4.408172965E-1,1.715043068E0,-1.867488623E-1,1.780608815E0
1.592227488E0,-4.370908439E-1,1.888299465E0,-1.926019788E-1,1.947772779E0
1.602226221E0,-4.278511405E-1,1.953783989E0,-2.256559134E-1,2.012771489E0
1.612224887E0,-4.103196859E-1,2.038344383E0,-2.337098718E-1,2.092326546E0
1.622223620E0,-3.873088062E-1,2.132448196E0,-2.376779318E-1,2.180328925E0
1.632222353E0,-3.710166514E-1,2.238493443E0,-2.443092465E-1,2.282146633E0
1.642221019E0,-3.593820930E-1,2.337335587E0,-2.680539787E-1,2.379946652E0
1.652219752E0,-3.499641418E-1,2.431364536E0,-2.680073678E-1,2.470999061E0
1.662218485E0,-3.214916289E-1,2.403243542E0,-2.846500874E-1,2.441303353E0
1.672217151E0,-3.052395284E-1,2.327259064E0,-2.794500291E-1,2.363767805E0
1.682215884E0,-2.727512121E-1,2.251261234E0,-2.832549810E-1,2.285345434E0
1.692214650E0,-2.531096041E-1,2.192054749E0,-2.908584476E-1,2.225705984E0
1.702213416E0,-2.421463132E-1,2.130489349E0,-2.778949142E-1,2.162139054E0
1.712212182E0,-2.283982038E-1,2.042593479E0,-2.706808448E-1,2.073070665E0
1.722210948E0,-1.987061501E-1,1.932286739E0,-2.230429053E-1,1.955240219E0
1.732209714E0,-1.979604065E-1,1.728281021E0,-2.097007632E-1,1.752175225E0
1.742208480E0,-2.103214264E-1,1.470313072E0,-1.709238887E-1,1.495082141E0
1.752207180E0,-1.787492782E-1,1.260261536E0,-1.384662986E-1,1.280384067E0
1.762205946E0,-1.963430345E-1,1.090902328E0,-9.798383713E-2,1.112753032E0
1.772204712E0,-2.080056965E-1,8.712654114E-1,-8.795505762E-2,9.000588198E-1
1.782203412E0,-2.180816233E-1,6.947174072E-1,-3.681212664E-2,7.290727008E-1
1.792202178E0,-2.384743541E-1,4.510850906E-1,-9.667098522E-3,5.103344290E-1
1.802200944E0,-2.160837203E-1,1.571416855E-1,2.196305990E-2,2.680821880E-1
1.812199710E0,-2.346564531E-1,-1.201000214E-1,8.180046082E-2,2.760054012E-1
1.822198476E0,-2.366060615E-1,-3.591499329E-1,6.825792789E-2,4.354655524E-1
1.832197242E0,-2.483364642E-1,-5.671720505E-1,1.252071857E-1,6.316897764E-1
1.842196008E0,-2.766613662E-1,-7.633485794E-1,1.395626068E-1,8.238448194E-1
1.852194774E0,-2.421842217E-1,-9.428672791E-1,1.665465236E-1,9.876181690E-1
1.862193474E0,-2.449764907E-1,-9.428806305E-1,1.677595377E-1,9.885244695E-1
1.872192240E0,-2.657565475E-1,-1.431418419E0,1.743909121E-1,1.466286951E0
1.882191006E0,-2.520850003E-1,-1.635083199E0,1.699005365E-1,1.663102554E0
1.892189706E0,-2.519885600E-1,-1.755025864E0,1.663790941E-1,1.780813303E0
1.902188472E0,-2.322615236E-1,-1.870225906E0,1.545413733E-1,1.890918664E0
1.912187238E0,-2.245105505E-1,-1.911260605E0,1.442087889E-1,1.929797467E0
1.922185938E0,-2.030541301E-1,-1.961941719E0,1.499524117E-1,1.978113246E0
1.932184704E0,-2.068337351E-1,-2.072561264E0,1.339803338E-1,2.087161018E0
1.942183470E0,-2.027547061E-1,-2.185635567E0,1.251676679E-1,2.198585738E0
1.952182236E0,-2.314542979E-1,-2.243678093E0,1.140745282E-1,2.258467506E0
1.962181002E0,-2.497785389E-1,-2.220375061E0,1.106881499E-1,2.237120157E0
1.972179768E0,-2.597441673E-1,-2.189866066E0,1.151749492E-1,2.208222291E0
1.982178534E0,-2.990992069E-1,-2.116250038E0,1.110467315E-1,2.140164932E0
1.992177267E0,-3.121145964E-1,-2.021011353E0,1.150072813E-1,2.048201426E0
2.002175933E0,-3.221605420E-1,-1.983189583E0,1.222184896E-1,2.012899823E0
2.012174666E0,-3.312023282E-1,-1.902181625E0,8.920127153E-2,1.932859743E0
2.022173399E0,-3.152471185E-1,-1.761253357E0,1.092386246E-1,1.792575580E0
2.032172065E0,-3.169795573E-1,-1.534069061E0,8.634328842E-2,1.568852794E0
2.042170798E0,-2.828074098E-1,-1.334085464E0,1.065043211E-1,1.367884216E0
2.052169531E0,-2.447643131E-1,-1.064962387E0,6.536293030E-2,1.094681126E0
2.062168264E0,-2.316903174E-1,-8.895225525E-1,7.073110342E-2,9.219184690E-1
2.072166997E0,-2.098016441E-1,-7.454824448E-1,5.507051945E-2,7.763978152E-1
2.082165730E0,-1.882346869E-1,-5.346441269E-1,2.580237389E-2,5.673996847E-1
2.092164463E0,-1.689985096E-1,-3.143930435E-1,1.210206747E-2,3.571413475E-1
2.102163229E0,-1.733800173E-1,-5.741119385E-3,-9.834229946E-3,1.737535695E-1
2.112161929E0,-1.855469942E-1,2.277708054E-1,-3.446960449E-2,2.957961806E-1
2.122160695E0,-1.880886257E-1,4.922552109E-1,-1.014102697E-1,5.366344813E-1
2.132159461E0,-1.931572258E-1,7.206802368E-1,-1.245655417E-1,7.564431848E-1
2.142158161E0,-2.056784034E-1,8.723783493E-1,-1.676463485E-1,9.118403852E-1
2.152156927E0,-1.948419809E-1,1.081444740E0,-2.208114266E-1,1.120822827E0
2.162155693E0,-1.944389343E-1,1.292823792E0,-2.573294640E-1,1.332448238E0
2.172154393E0,-2.143381238E-1,1.525724411E0,-2.886372209E-1,1.567509890E0
2.182153159E0,-2.613499761E-1,1.737014771E0,-3.267669082E-1,1.786701076E0
2.192151925E0,-2.559201121E-1,1.900469780E0,-3.424199820E-1,1.947955834E0
2.202150691E0,-2.814553976E-1,1.975385666E0,-3.907517791E-1,2.033236981E0
2.212149457E0,-2.850856483E-1,2.050366879E0,-3.996010125E-1,2.108307172E0
2.222148223E0,-2.741731405E-1,2.137428761E0,-4.286409914E-1,2.197158555E0
2.232146989E0,-2.969941199E-1,2.231856346E0,-4.217768610E-1,2.290695086E0
2.242145755E0,-3.318884671E-1,2.316829205E0,-4.445916414E-1,2.382332732E0
2.252144455E0,-3.355116844E-1,2.344439030E0,-4.563722312E-1,2.411895120E0
2.262143221E0,-3.433550298E-1,2.353063583E0,-4.379082322E-1,2.417967023E0
2.272141987E0,-3.598849177E-1,2.237307549E0,-4.328293204E-1,2.307033472E0
2.282140687E0,-3.563730717E-1,2.176705837E0,-4.437180161E-1,2.249874607E0
2.292139453E0,-3.832946718E-1,2.109047413E0,-4.297180772E-1,2.186241849E0
2.302138219E0,-3.833175302E-1,2.060628891E0,-4.389053583E-1,2.141439158E0
2.312136985E0,-4.020994902E-1,1.952468872E0,-3.992977738E-1,2.033041418E0
2.322135785E0,-3.987221122E-1,1.841957092E0,-3.929033279E-1,1.925138509E0
2.332134618E0,-4.159913063E-1,1.650093079E0,-3.911060095E-1,1.746087010E0
2.342133451E0,-4.078836143E-1,1.388861656E0,-3.607626557E-1,1.491796044E0
2.352132351E0,-4.105157256E-1,1.182741165E0,-3.663635254E-1,1.304462363E0
2.362131184E0,-3.928143680E-1,9.982423782E-1,-3.407609463E-1,1.125570520E0
2.372130084E0,-4.054222703E-1,8.305511475E-1,-3.413931131E-1,9.852571662E-1
2.382128984E0,-4.102251530E-1,6.222066879E-1,-3.201962709E-1,8.111420902E-1
2.392127817E0,-3.977995813E-1,4.091253281E-1,-2.964823246E-1,6.430628350E-1
2.402126683E0,-3.991765380E-1,1.362094879E-1,-3.085611463E-1,5.225944068E-1
2.412125549E0,-3.952846825E-1,-1.390428543E-1,-2.821690440E-1,5.051754794E-1
2.422124349E0,-3.932788968E-1,-4.070148468E-1,-2.692636847E-1,6.267633589E-1
2.432123215E0,-3.834201396E-1,-5.838899612E-1,-2.579755783E-1,7.446407787E-1
2.442122081E0,-3.801517785E-1,-7.989120483E-1,-2.355853319E-1,9.155742921E-1
2.452120947E0,-3.693604171E-1,-9.802799225E-1,-2.265259624E-1,1.071769498E0
2.462119813E0,-3.680514395E-1,-1.163988113E0,-2.118244171E-1,1.239031789E0
2.472118679E0,-3.639641702E-1,-1.424183846E0,-1.722205281E-1,1.480009950E0
2.482117545E0,-3.572280705E-1,-1.638803482E0,-1.508045197E-1,1.684051885E0
2.492116411E0,-3.526489437E-1,-1.781476021E0,-1.402261853E-1,1.821450376E0
2.502115211E0,-3.525365591E-1,-1.885771751E0,-1.145111322E-1,1.921855854E0
2.512114077E0,-3.405036628E-1,-1.944529533E0,-9.526365995E-2,1.976414181E0
2.522112943E0,-3.188021779E-1,-2.051141739E0,-8.528280258E-2,2.077520257E0
2.532111743E0,-3.522482514E-1,-2.119467735E0,-5.135804415E-2,2.149153312E0
2.542110609E0,-3.328270614E-1,-2.230909348E0,-1.777565479E-2,2.255669822E0
2.552109475E0,-3.344317675E-1,-2.277787209E0,-4.143714905E-3,2.302211186E0
2.562108341E0,-3.282013535E-1,-2.252868652E0,-2.230840921E-2,2.276758871E0
2.572107207E0,-3.284573257E-1,-2.163355827E0,-2.878963947E-3,2.188150118E0
2.582106073E0,-2.850294709E-1,-2.090659142E0,8.405804634E-3,2.110016138E0
2.592104939E0,-2.913631797E-1,-2.013229370E0,-3.016591072E-4,2.034203798E0
2.602103805E0,-2.529983819E-1,-1.928795815E0,4.141747952E-3,1.945322243E0
2.612102605E0,-2.207980454E-1,-1.897533417E0,-1.068723202E-2,1.910366211E0
2.622101438E0,-1.943351328E-1,-1.730203629E0,1.394748688E-3,1.741083767E0
2.632100238E0,-1.610791981E-1,-1.529658318E0,-9.298324585E-6,1.538116080E0
2.642098971E0,-1.471468806E-1,-1.331743240E0,-2.387225628E-3,1.339849977E0
2.652097704E0,-1.230040863E-1,-1.095690727E0,-3.097116947E-3,1.102577783E0
2.662096437E0,-9.849441797E-2,-9.124898911E-1,-1.642125845E-2,9.179371489E-1
2.672095103E0,-8.296908438E-2,-7.389745712E-1,-2.787005901E-2,7.441397893E-1
2.682093836E0,-5.726363510E-2,-5.368261337E-1,-4.178225994E-2,5.414860839E-1
2.692092569E0,-3.104958683E-2,-2.844648361E-1,-4.594409466E-2,2.898192189E-1
2.702091302E0,-4.602812231E-3,2.291297913E-2,-2.618122101E-2,3.509482620E-2
2.712090035E0,-4.485987127E-3,2.703266144E-1,-4.773098230E-2,2.745448036E-1
2.722088801E0,3.141365945E-3,4.961128235E-1,-6.040340662E-2,4.997863277E-1
2.732087567E0,-7.546909153E-3,7.409725189E-1,-5.672377348E-2,7.431788588E-1
2.742086333E0,4.734627903E-3,8.804502487E-1,-7.263320684E-2,8.834538131E-1
2.752085033E0,2.563932538E-2,1.084518433E0,-4.332256317E-2,1.085686166E0
2.762083799E0,1.920747012E-2,1.283733368E0,-6.523191929E-2,1.285533154E0
2.772082565E0,3.138941526E-2,1.540360451E0,-5.906212330E-2,1.541811904E0
2.782081265E0,2.606441453E-2,1.732239723E0,-7.551968098E-2,1.734081035E0
2.792080031E0,2.986701950E-2,1.876172543E0,-7.878011465E-2,1.878063299E0
2.802078797E0,3.100705892E-2,2.003260136E0,-9.039384127E-2,2.005538246E0
2.812077563E0,4.608692229E-2,2.060873985E0,-8.599460125E-2,2.063182168E0
2.822076329E0,4.129859433E-2,2.151924133E0,-7.788884640E-2,2.153729259E0
2.832075095E0,5.025047436E-2,2.266855240E0,-1.041577458E-1,2.269803213E0
2.842073861E0,2.963577583E-2,2.353044510E0,-1.259241104E-1,2.356597892E0
2.852072627E0,3.990143538E-2,2.362600327E0,-1.358053088E-1,2.366836604E0
2.862071327E0,4.974683374E-2,2.365014076E0,-1.213948429E-1,2.368650045E0
2.872070093E0,5.704480782E-2,2.307558060E0,-1.141444445E-1,2.311083569E0
2.882068859E0,4.485102743E-2,2.187859535E0,-1.186777353E-1,2.191534934E0
2.892067559E0,6.131196767E-2,2.130426407E0,-1.107988954E-1,2.134186549E0
2.902066325E0,5.576733500E-2,2.099351406E0,-1.074610353E-1,2.102839555E0
2.912065091E0,5.677424744E-2,2.008432865E0,-8.725225925E-2,2.011128749E0
2.922063791E0,7.878076285E-2,1.872000217E0,-9.608435631E-2,1.876119246E0
2.932062557E0,6.621704996E-2,1.716415405E0,-9.283596277E-2,1.720199133E0
2.942061323E0,5.759579688E-2,1.462673187E0,-6.048595905E-2,1.465055862E0
2.952060089E0,5.791362748E-2,1.232862473E0,-2.590209246E-2,1.234493735E0
2.962058855E0,4.986030608E-2,1.062881470E0,-1.786667109E-2,1.064200304E0
2.972057621E0,4.369360209E-2,9.000720978E-1,-1.721388102E-2,9.012964161E-1
2.982056387E0,2.993899584E-2,7.013359070E-1,7.379293442E-3,7.020134271E-1
2.992055153E0,4.026654363E-2,4.331512451E-1,4.127514362E-2,4.369725771E-1
3.002053853E0,1.599302888E-2,1.892166138E-1,6.781804562E-2,2.016382682E-1
3.012052619E0,2.192476392E-2,-1.194047928E-1,9.633105993E-2,1.549770077E-1
3.022051352E0,2.711531520E-2,-3.394880295E-1,1.023548841E-1,3.556176103E-1
3.032050018E0,1.464548707E-2,-5.237483978E-1,1.217054725E-1,5.379024972E-1
3.042048751E0,8.482582867E-3,-7.320299149E-1,1.518293619E-1,7.476576125E-1
3.052047484E0,-7.983684540E-3,-9.212408066E-1,1.639444828E-1,9.357489815E-1
3.062046217E0,6.079100072E-3,-1.132117271E0,1.793885231E-1,1.146257700E0
3.072044950E0,-2.595897764E-2,-1.371838570E0,1.688835621E-1,1.382438638E0
